,Year,State,Deceased Donors,Living Donors,Total Transplants,Kidney Transplants,Liver Transplants,Heart Transplants,Lung Transplants,Women Donors,Men Donors,Transgender Donors,Organ Donation Rate (pmp),People Pledged (NOTTO),Online Pledges (Tamil Nadu)
2466,2020,Telangana,103,315,882,433,399,41,29,238,662,2,1.89,493761,4628
2467,2021,Karnataka,62,137,250,425,122,40,16,241,490,5,0.51,59981,106
2468,2020,Telangana,82,770,158,675,267,15,16,160,594,2,0.91,354505,3276
2469,2020,Karnataka,268,701,628,493,80,36,33,427,0,3,0.73,409993,19070
2470,2023,Kerala,89,968,927,419,135,19,22,507,642,2,1.16,56262,17859
2471,2021,Rajasthan,249,715,303,704,10,43,7,339,115,1,1.28,312036,13245
2472,2022,Maharashtra,296,647,164,175,86,30,26,506,394,3,0.41,87337,3377
2473,2020,Rajasthan,87,837,48,661,91,23,34,100,671,1,0.35,197763,6470
2474,2023,Uttar Pradesh,251,98,977,241,297,17,30,578,366,1,0.51,36854,11796
2475,2024,Kerala,30,802,1075,75,321,41,3,146,384,1,1.45,85474,15422
2476,2021,Maharashtra,2,472,477,152,164,45,34,318,258,5,1.44,89173,17654
2477,2023,Kerala,264,981,721,570,12,37,27,16,529,5,1.42,132464,15198
2478,2022,Uttar Pradesh,267,936,647,284,265,4,9,670,3,2,1.14,252739,10899
2479,2024,Delhi,37,950,1104,124,90,25,32,410,510,1,1.5,477246,5571
2480,2021,Punjab,84,467,1053,368,36,30,32,326,42,4,0.71,309449,18801
2481,2022,Tamil Nadu,209,749,64,251,73,14,9,425,448,4,0.28,20789,4797
2482,2021,Gujarat,219,544,298,704,352,29,27,347,136,5,1.5,406411,17966
2483,2020,Delhi,275,691,433,513,348,27,19,300,401,0,1.52,221720,8487
2484,2024,Uttar Pradesh,272,31,1032,633,302,38,34,348,105,0,0.21,340430,698
2485,2020,Rajasthan,218,823,254,785,344,35,33,399,40,0,0.29,196350,1586
2486,2023,Rajasthan,126,514,711,156,272,6,28,462,597,0,0.68,100774,224
2487,2022,Uttar Pradesh,279,716,73,561,180,41,40,181,122,4,1.94,252908,15299
2488,2020,Tamil Nadu,42,919,1181,46,84,26,0,564,591,2,1.95,19348,15520
2489,2024,Punjab,108,953,801,306,42,25,6,56,95,3,1.82,257107,4197
2490,2020,Telangana,34,802,1026,251,348,25,1,573,689,0,0.64,351387,17765
2491,2024,Rajasthan,291,862,840,61,200,23,21,463,332,4,1.87,30942,12685
2492,2024,Rajasthan,102,355,671,520,177,46,18,4,525,5,0.9,231406,17067
2493,2023,Maharashtra,11,937,1130,348,384,25,22,355,458,5,1.29,280023,5279
2494,2021,Tamil Nadu,261,720,472,534,224,31,35,551,557,1,1.84,224451,2332
2495,2023,Telangana,2,874,339,549,355,39,17,584,263,4,0.79,322553,9332
2496,2024,Rajasthan,248,291,5,675,80,32,16,593,480,4,0.82,485999,10983
2497,2022,Karnataka,87,142,610,796,94,33,43,126,630,1,1.99,411496,15603
2498,2021,Karnataka,244,21,802,759,147,25,33,545,259,5,1.38,49226,6482
2499,2024,Tamil Nadu,252,395,824,711,341,34,49,388,101,4,1.29,332632,2568
2500,2020,Karnataka,170,842,1100,508,346,15,29,462,561,0,1.7,466146,482
2501,2022,Gujarat,3,276,61,32,36,8,46,134,82,1,0.61,320392,2972
2502,2021,Telangana,181,872,753,250,157,15,29,68,446,1,0.75,354670,7565
2503,2024,Punjab,298,525,149,189,11,39,26,383,123,5,1.31,276103,9890
2504,2021,Delhi,233,920,250,715,158,6,23,333,470,0,0.24,247969,16738
2505,2023,Maharashtra,300,628,822,635,102,35,15,482,160,4,1.71,353108,16599
2506,2022,Kerala,103,750,1157,536,300,0,47,541,299,5,0.34,480477,9994
2507,2020,Gujarat,293,639,1164,196,88,43,48,135,19,0,1.31,348605,3412
2508,2021,Maharashtra,257,493,152,591,44,48,17,546,242,2,0.1,83518,1594
2509,2023,Tamil Nadu,101,566,1095,632,196,24,4,673,686,2,1.54,259464,30
2510,2024,Karnataka,212,642,278,509,350,18,46,293,448,3,1.38,292139,2519
2511,2022,Delhi,151,725,1015,730,83,25,9,562,145,1,1.28,206292,12148
2512,2023,Maharashtra,27,173,384,408,120,7,32,131,254,4,1.97,205619,19726
2513,2020,Telangana,197,942,213,51,74,46,26,412,459,3,1.59,48903,16496
2514,2020,Rajasthan,287,307,229,442,347,33,22,298,311,0,0.61,312886,17756
2515,2021,Delhi,276,316,162,247,159,8,36,661,302,3,0.93,216869,19860
2516,2022,Delhi,106,302,765,750,238,44,3,401,544,3,1.53,92606,5575
2517,2022,Punjab,139,628,1121,745,325,30,27,534,256,2,1.4,156084,7169
2518,2023,Karnataka,233,221,787,767,227,29,11,663,236,2,0.47,98362,1811
2519,2021,Karnataka,133,739,280,674,397,23,0,395,264,4,1.55,372347,14051
2520,2021,Karnataka,127,6,116,201,280,1,32,1,373,4,1.32,251308,8971
2521,2022,Tamil Nadu,156,433,946,70,339,32,13,643,207,4,1.84,171790,7611
2522,2021,Kerala,128,69,831,731,84,45,34,161,243,0,0.58,203048,8179
2523,2023,Kerala,62,227,438,256,379,4,30,365,458,1,0.35,141867,16341
2524,2021,Kerala,213,248,508,124,158,2,31,85,339,2,1.15,211798,627
2525,2021,Kerala,285,732,551,241,51,43,48,112,477,0,1.14,229298,14086
2526,2022,Gujarat,258,746,388,433,347,34,37,55,210,4,0.75,385437,14612
2527,2023,Gujarat,67,805,42,710,238,40,3,685,662,3,0.86,292078,1954
2528,2022,Punjab,121,782,383,505,276,26,27,288,547,4,1.72,304210,4923
2529,2022,Karnataka,74,473,139,281,371,34,26,246,689,0,1.08,231123,18458
2530,2020,Karnataka,299,996,272,184,394,15,32,58,450,4,1.68,417589,1628
2531,2020,Karnataka,169,860,764,193,370,9,26,523,135,1,1.28,26795,12923
2532,2023,Gujarat,187,776,926,166,224,44,21,45,446,0,0.47,12698,13691
2533,2023,Telangana,63,118,941,287,377,13,47,648,656,4,0.25,323365,217
2534,2021,Telangana,266,18,247,735,230,38,27,5,106,2,0.63,485801,14698
2535,2024,Tamil Nadu,107,130,196,48,32,43,34,361,7,3,1.91,198082,10392
2536,2021,Maharashtra,189,883,525,792,266,23,29,453,229,0,1.95,438945,1417
2537,2022,Delhi,172,16,471,239,39,30,22,673,77,1,0.44,472984,19374
2538,2023,Delhi,87,935,560,611,32,11,44,393,625,3,0.83,332555,1938
2539,2024,Kerala,225,947,725,281,228,14,41,523,458,0,0.43,5038,10277
2540,2024,Tamil Nadu,276,781,13,430,219,41,25,20,600,2,1.64,319845,5122
2541,2022,Telangana,29,646,815,489,337,25,39,83,506,2,1.86,276227,12302
2542,2024,Gujarat,36,389,891,793,108,21,19,109,394,1,0.37,482918,14678
2543,2021,Maharashtra,96,478,967,672,165,26,40,619,385,3,0.42,81746,13774
2544,2024,Gujarat,58,859,803,118,259,30,50,360,377,5,0.89,182252,2841
2545,2021,Maharashtra,239,457,731,7,269,18,0,18,295,2,1.61,53173,2160
2546,2020,Karnataka,61,560,1055,474,370,42,14,462,41,5,1.02,451851,7028
2547,2020,Kerala,217,433,116,695,274,26,13,111,163,0,1.35,105987,6745
2548,2024,Delhi,90,886,1050,94,306,17,23,617,474,5,1.88,244941,8171
2549,2023,Maharashtra,4,21,556,424,79,2,17,496,387,5,0.17,193082,71
2550,2020,Uttar Pradesh,167,880,607,181,69,43,8,539,279,5,1.95,256567,12019
2551,2024,Rajasthan,174,843,703,506,318,14,6,664,355,4,0.64,2344,16180
2552,2024,Uttar Pradesh,11,530,798,555,377,34,35,596,639,5,0.62,199426,1671
2553,2022,Kerala,72,51,13,0,246,24,46,301,449,2,0.83,318099,6092
2554,2022,Tamil Nadu,61,958,282,604,27,40,41,103,619,4,1.16,396380,15715
2555,2024,Delhi,79,585,62,170,320,37,25,167,139,4,1.19,139201,8051
2556,2020,Karnataka,48,565,851,346,272,37,46,262,690,5,1.4,18216,14794
2557,2021,Tamil Nadu,188,605,984,353,176,16,22,132,386,0,0.28,238774,17951
2558,2021,Karnataka,153,258,419,701,339,27,41,198,110,4,1.76,55192,19596
2559,2021,Rajasthan,49,815,787,724,195,6,43,459,631,5,1.64,298054,10607
2560,2020,Uttar Pradesh,293,326,526,185,236,3,38,150,485,0,0.88,262703,11288
2561,2023,Delhi,263,82,670,574,212,24,24,385,518,5,1.69,356722,14886
2562,2023,Karnataka,41,435,554,685,349,30,43,464,207,3,1.5,92440,4990
2563,2023,Gujarat,98,342,213,705,221,36,10,27,335,0,1.44,303741,10169
2564,2020,Kerala,300,261,113,195,320,22,41,508,491,5,1.5,224597,13799
2565,2023,Rajasthan,87,141,775,551,152,38,23,537,309,3,1.25,390998,16620
2566,2022,Kerala,218,59,1141,588,151,34,41,93,197,5,0.86,70500,13719
2567,2024,Delhi,166,391,626,794,313,49,39,278,43,5,1.94,68879,12732
2568,2020,Punjab,235,482,817,414,160,28,39,617,210,2,0.7,374832,18196
2569,2024,Uttar Pradesh,261,517,1100,488,368,39,21,330,73,0,0.94,157951,16322
2570,2021,Uttar Pradesh,162,783,645,776,17,37,9,61,420,4,1.13,86463,11894
2571,2023,Rajasthan,240,126,624,220,58,29,45,325,290,2,1.22,162144,18695
2572,2020,Rajasthan,132,679,106,713,122,19,32,161,455,4,1.69,384258,15559
2573,2020,Delhi,126,773,411,621,55,12,4,347,271,4,1.61,371625,14383
2574,2020,Rajasthan,15,188,719,63,209,14,43,638,45,1,0.3,204806,16950
2575,2023,Rajasthan,177,838,1075,24,293,2,31,326,2,5,0.79,250569,1350
2576,2021,Delhi,219,969,515,322,114,4,30,173,264,0,1.48,356496,4470
2577,2023,Karnataka,89,353,598,611,155,44,6,528,411,0,1.58,256544,5200
2578,2023,Maharashtra,177,844,427,637,202,0,30,55,688,2,1.83,34312,4839
2579,2020,Karnataka,8,963,196,602,295,24,50,418,197,2,1.2,42805,16954
2580,2024,Kerala,295,421,365,664,56,24,19,111,422,1,1.88,126327,13008
2581,2021,Kerala,116,227,523,654,290,39,26,296,482,4,1.72,334099,6588
2582,2020,Rajasthan,104,563,1037,202,62,11,2,334,277,5,1.0,72308,1410
2583,2021,Uttar Pradesh,206,303,92,750,380,39,12,210,556,5,0.25,354991,129
2584,2024,Punjab,13,435,1002,794,23,43,31,408,431,4,0.92,470816,5205
2585,2021,Gujarat,69,110,650,788,133,14,25,302,522,1,0.46,204022,19415
2586,2022,Uttar Pradesh,199,138,446,16,331,22,49,315,53,3,0.62,116350,12854
2587,2021,Tamil Nadu,97,741,760,415,171,23,34,585,117,0,1.47,256432,5393
2588,2023,Telangana,104,642,134,118,106,5,39,386,554,3,1.11,420857,4360
2589,2020,Maharashtra,162,345,757,410,373,19,49,139,483,5,1.97,90672,5201
2590,2023,Gujarat,286,882,816,262,282,47,39,3,12,2,0.66,146622,19535
2591,2023,Rajasthan,126,533,428,528,155,5,17,299,70,5,0.22,285129,2066
2592,2022,Maharashtra,45,342,186,671,394,39,19,570,266,1,1.42,17174,5094
2593,2022,Telangana,83,145,804,606,37,7,11,465,92,4,1.6,448302,14321
2594,2023,Tamil Nadu,28,862,257,80,366,22,44,320,240,4,0.8,212310,18870
2595,2021,Maharashtra,273,59,1027,410,209,3,31,426,197,0,0.36,421095,17722
2596,2024,Uttar Pradesh,178,971,727,613,382,18,35,139,650,1,1.1,324650,15599
2597,2022,Telangana,84,11,750,123,248,34,9,29,395,4,0.57,105531,14434
2598,2020,Rajasthan,85,242,564,605,203,18,13,151,534,1,1.32,6612,19371
2599,2023,Kerala,165,260,170,122,142,26,5,631,421,3,1.8,212473,11455
2600,2022,Maharashtra,151,989,101,90,149,17,0,571,522,4,1.75,153837,5534
2601,2021,Rajasthan,73,549,752,409,315,49,8,98,188,0,0.22,175823,16468
2602,2020,Gujarat,134,809,926,726,294,1,37,512,691,5,0.83,350980,3014
2603,2021,Delhi,172,448,553,353,39,13,10,572,220,3,0.14,363098,426
2604,2023,Tamil Nadu,210,85,547,466,382,9,44,382,173,2,1.03,175410,5035
2605,2021,Karnataka,216,731,788,627,136,50,6,553,242,3,0.88,253884,19664
2606,2024,Rajasthan,236,290,45,354,360,31,43,107,524,1,0.88,193770,10288
2607,2022,Maharashtra,132,419,811,749,209,20,0,198,643,2,0.99,72282,19416
2608,2021,Karnataka,268,98,367,171,345,19,40,158,63,1,0.65,350591,7344
2609,2021,Uttar Pradesh,151,455,603,500,34,27,6,184,527,0,0.27,483814,14640
2610,2020,Rajasthan,221,714,710,542,264,22,42,51,399,2,1.05,383315,16910
2611,2023,Gujarat,182,872,295,418,363,4,9,264,322,2,0.11,344033,10105
2612,2024,Kerala,292,44,962,402,385,14,50,607,643,1,0.95,84611,16534
2613,2020,Karnataka,39,781,1183,390,35,7,29,313,674,1,1.46,368736,14215
2614,2024,Rajasthan,37,326,1133,439,26,28,1,348,552,1,1.75,387699,14230
2615,2020,Kerala,212,825,55,375,59,8,28,389,19,1,0.21,440596,16636
2616,2020,Delhi,219,770,358,522,139,43,28,190,119,1,0.87,329330,3847
2617,2020,Punjab,300,691,351,314,299,2,41,302,191,3,1.14,55602,6256
2618,2023,Punjab,80,163,160,530,229,10,0,97,255,2,1.02,165318,19301
2619,2024,Maharashtra,258,628,368,739,238,9,42,287,156,1,1.83,94201,5128
2620,2020,Karnataka,127,171,290,627,107,38,11,250,587,2,0.13,305004,780
2621,2021,Rajasthan,294,378,243,608,384,15,33,423,320,3,1.36,329045,17235
2622,2024,Gujarat,104,494,74,230,257,32,11,427,120,0,1.1,413328,8136
2623,2022,Gujarat,124,599,1155,413,198,15,18,407,672,1,0.99,158834,74
2624,2020,Delhi,46,300,596,766,156,36,18,688,566,0,0.88,385332,6388
2625,2024,Telangana,112,734,1002,314,224,10,32,590,48,2,1.94,429058,18075
2626,2023,Rajasthan,200,951,894,227,279,16,29,175,698,4,1.9,183907,9077
2627,2024,Tamil Nadu,83,410,831,138,119,24,23,549,341,5,1.53,268072,12521
2628,2020,Rajasthan,297,210,174,334,67,27,29,11,75,0,0.58,485795,12769
2629,2021,Kerala,49,683,40,289,155,38,4,56,62,1,0.71,283142,10802
2630,2024,Kerala,170,814,710,123,315,18,24,699,459,0,0.22,273325,94
2631,2024,Tamil Nadu,211,708,440,486,231,2,16,353,136,2,1.16,462088,6954
2632,2020,Rajasthan,252,918,220,772,5,8,24,665,67,4,1.64,418604,8989
2633,2023,Karnataka,170,966,166,115,141,42,16,482,209,4,0.4,400085,3743
2634,2023,Maharashtra,8,944,992,552,385,19,18,99,14,0,1.16,211207,14480
2635,2024,Kerala,44,926,97,272,138,18,43,614,386,2,1.76,308656,1610
2636,2023,Tamil Nadu,99,991,600,0,226,32,12,306,146,0,0.44,354364,5617
2637,2023,Rajasthan,123,8,171,393,190,9,49,663,161,4,1.27,173139,11680
2638,2021,Maharashtra,287,959,865,506,248,13,48,617,685,2,0.17,361206,10489
2639,2021,Uttar Pradesh,130,346,892,311,222,9,3,358,124,5,0.74,343469,56
2640,2023,Uttar Pradesh,94,902,175,570,142,31,1,413,52,5,1.8,437704,3467
2641,2021,Kerala,39,315,348,774,166,0,19,356,687,4,1.74,273822,18511
2642,2020,Tamil Nadu,115,733,32,328,192,34,3,92,386,5,0.63,110970,2418
2643,2020,Telangana,292,320,857,778,272,50,21,632,417,2,1.06,234699,4646
2644,2020,Telangana,182,314,358,419,326,41,14,156,478,1,1.45,130156,18341
2645,2024,Uttar Pradesh,4,297,982,800,287,17,4,132,188,4,0.85,374579,19019
2646,2022,Rajasthan,33,123,282,493,105,38,48,36,341,0,1.19,384907,15360
2647,2024,Punjab,155,481,829,560,193,41,11,187,169,5,0.69,171638,11119
2648,2024,Tamil Nadu,97,150,940,353,104,2,33,13,449,5,1.76,24616,12784
2649,2022,Delhi,210,48,341,431,322,30,20,608,151,2,0.26,180272,7637
2650,2021,Maharashtra,57,645,478,543,86,21,29,304,115,2,0.57,317257,254
2651,2024,Punjab,233,586,1100,333,272,6,25,338,256,1,0.25,3648,18212
2652,2023,Delhi,31,373,186,644,41,21,45,603,96,5,1.8,82291,3126
2653,2023,Delhi,213,259,750,111,15,33,9,88,243,2,0.35,457589,6072
2654,2023,Telangana,35,839,938,132,192,22,6,672,392,5,1.25,140566,3108
2655,2024,Delhi,228,649,742,611,45,50,41,363,174,3,1.0,264529,6811
2656,2024,Telangana,130,715,453,450,366,9,4,656,589,5,1.43,391863,17020
2657,2023,Punjab,159,275,595,158,294,46,15,31,90,4,1.19,42514,3698
2658,2023,Punjab,158,615,97,314,62,3,9,328,469,4,0.89,220644,8555
2659,2024,Maharashtra,182,509,259,116,194,17,4,15,419,3,1.31,274222,14242
2660,2024,Maharashtra,169,426,843,574,113,28,10,247,316,5,0.61,188249,2278
2661,2023,Gujarat,27,972,386,394,388,33,35,61,315,4,0.16,152461,16556
2662,2022,Delhi,284,646,955,613,400,42,50,645,587,0,1.51,361298,14936
2663,2024,Tamil Nadu,117,561,431,195,338,1,32,402,110,5,1.92,180708,11267
2664,2022,Kerala,222,421,1179,653,394,19,16,388,462,3,0.43,18528,10040
2665,2022,Karnataka,128,967,925,545,7,10,20,221,292,2,0.76,382886,19678
2666,2020,Karnataka,207,424,1159,329,118,45,14,514,345,4,0.31,410569,12257
2667,2020,Rajasthan,214,660,246,640,243,0,22,58,206,0,0.67,45418,11824
2668,2023,Kerala,104,567,734,665,352,10,49,602,85,1,0.13,260218,14743
2669,2024,Karnataka,2,742,738,182,176,37,42,600,618,3,1.64,309665,14784
2670,2022,Delhi,162,922,810,637,260,22,26,347,645,2,1.79,329713,2596
2671,2024,Rajasthan,178,41,685,254,103,38,20,385,129,2,1.84,384387,10400
2672,2024,Maharashtra,192,247,82,676,164,28,26,99,540,1,0.8,29445,13473
2673,2024,Delhi,68,179,70,522,333,3,19,200,558,2,1.39,384964,8309
2674,2021,Telangana,256,312,1083,774,70,20,16,50,696,5,1.23,258581,15134
2675,2021,Delhi,175,693,279,220,199,12,47,413,50,5,1.68,33896,17369
2676,2024,Punjab,80,413,581,421,259,32,49,195,591,1,0.81,68343,15263
2677,2023,Telangana,201,342,204,283,237,34,9,185,559,3,1.76,36073,13149
2678,2023,Tamil Nadu,273,550,947,425,400,2,19,635,550,3,0.53,64505,3564
2679,2023,Punjab,225,4,113,89,215,20,22,33,144,3,0.26,496171,13112
2680,2024,Gujarat,111,378,474,30,355,23,36,547,563,2,1.45,412081,3446
2681,2022,Rajasthan,53,499,1003,282,220,8,22,99,274,3,1.83,283921,16000
2682,2020,Kerala,33,272,1115,379,188,2,4,347,350,0,0.34,228925,8624
2683,2022,Karnataka,186,308,430,124,101,9,6,350,252,2,1.19,19507,6045
2684,2020,Gujarat,96,752,406,361,324,30,32,572,412,5,1.42,447639,2615
2685,2020,Uttar Pradesh,103,658,1079,633,235,41,26,289,251,3,0.53,17970,19920
2686,2023,Maharashtra,78,996,371,88,196,26,10,411,379,2,1.16,255190,17412
2687,2023,Delhi,296,930,812,716,148,13,45,550,276,2,0.46,309240,15456
2688,2023,Kerala,275,660,293,295,385,23,6,534,91,1,1.55,123419,6714
2689,2021,Kerala,260,997,1175,641,220,6,36,287,625,1,0.28,208708,4513
2690,2021,Delhi,142,790,486,413,328,3,21,322,546,3,0.43,18902,5640
2691,2020,Tamil Nadu,15,444,465,578,93,34,21,304,305,3,1.93,199517,19862
2692,2022,Maharashtra,225,416,20,483,83,1,21,357,501,2,1.87,377926,7571
2693,2020,Rajasthan,146,389,827,366,351,14,19,83,579,2,0.26,57912,10139
2694,2023,Rajasthan,91,944,1088,635,346,44,43,664,128,5,1.32,496382,1349
2695,2021,Tamil Nadu,244,53,890,628,3,7,9,677,288,5,0.5,457902,16715
2696,2022,Maharashtra,179,1,63,525,17,25,21,115,162,4,1.6,218690,19658
2697,2023,Telangana,9,484,510,194,301,0,39,584,299,1,0.79,381041,15434
2698,2023,Gujarat,94,484,165,785,373,44,22,152,609,4,0.96,448664,14596
2699,2020,Telangana,191,901,375,422,167,22,11,334,64,2,1.86,459949,18385
2700,2022,Rajasthan,196,857,712,490,309,18,1,661,589,3,0.37,372310,2166
2701,2022,Rajasthan,244,872,351,667,323,40,20,566,31,2,0.18,483229,14024
2702,2022,Telangana,140,440,247,297,85,5,11,301,317,4,1.25,295918,15679
2703,2021,Maharashtra,45,756,664,711,106,9,37,80,193,0,0.27,863,17462
2704,2023,Delhi,24,110,229,472,336,7,25,100,106,1,1.23,282342,1255
2705,2020,Maharashtra,214,986,794,705,4,24,9,9,434,0,0.79,388456,15430
2706,2024,Gujarat,240,790,1076,493,102,12,2,674,186,1,0.43,219296,16745
2707,2021,Delhi,15,96,896,418,222,32,43,487,388,2,1.88,428009,11193
2708,2021,Maharashtra,189,325,588,709,182,9,22,140,474,3,1.38,390832,19552
2709,2022,Punjab,271,930,247,734,102,5,3,609,632,2,0.71,300036,7668
2710,2021,Rajasthan,192,573,422,177,245,7,23,220,42,3,1.87,116362,6887
2711,2024,Karnataka,138,713,498,577,241,0,23,348,91,2,1.92,16240,362
2712,2023,Maharashtra,154,244,83,577,63,28,42,248,185,5,0.3,52475,19651
2713,2024,Uttar Pradesh,71,550,707,724,157,26,28,217,653,2,1.5,481557,10333
2714,2020,Telangana,289,34,447,580,78,15,2,199,203,0,0.85,297427,5253
2715,2023,Telangana,24,197,1025,53,95,23,4,120,619,5,1.55,184022,3718
2716,2020,Karnataka,263,540,217,573,217,31,24,674,107,0,1.85,177039,5707
2717,2020,Kerala,276,583,1067,154,166,37,44,486,42,4,0.39,395789,11766
2718,2023,Rajasthan,100,722,513,770,271,40,50,636,118,0,0.61,129962,9840
2719,2022,Maharashtra,163,833,163,369,147,6,42,521,303,4,1.48,414124,1641
2720,2020,Delhi,206,643,303,540,201,5,45,403,454,3,1.93,158038,16219
2721,2021,Delhi,16,828,465,81,334,40,19,62,566,3,1.47,370520,10437
2722,2023,Rajasthan,45,12,649,526,363,23,30,674,8,3,0.83,499611,14713
2723,2023,Punjab,91,115,114,525,257,26,31,58,113,3,1.24,414953,12417
2724,2020,Maharashtra,97,380,180,282,317,33,46,574,482,5,1.48,30122,1527
2725,2020,Gujarat,219,16,1086,291,1,25,1,554,76,5,0.22,360039,11350
2726,2024,Delhi,91,90,846,746,280,2,7,25,258,2,0.99,22814,11875
2727,2023,Telangana,148,891,70,799,46,24,48,601,646,4,0.51,114356,4682
2728,2024,Tamil Nadu,209,184,1021,468,224,38,44,219,130,1,1.79,418858,13373
2729,2024,Tamil Nadu,79,116,618,247,376,1,4,681,698,1,1.4,335410,3911
2730,2020,Delhi,33,262,488,148,208,47,11,656,575,3,1.43,166437,15170
2731,2020,Rajasthan,78,930,1033,105,235,1,29,528,403,0,1.39,249422,19773
2732,2020,Kerala,81,166,1109,11,344,17,15,672,164,0,0.72,133067,6828
2733,2022,Telangana,22,305,963,269,35,10,18,36,660,2,0.63,255892,1038
2734,2022,Gujarat,237,81,529,173,51,5,47,438,700,1,0.48,319174,17871
2735,2023,Punjab,83,699,184,543,70,21,9,98,82,2,1.29,303286,8092
2736,2020,Delhi,102,161,622,550,298,45,0,55,513,0,0.88,142390,10258
2737,2021,Karnataka,79,32,1086,356,123,23,48,404,617,0,0.86,133440,19374
2738,2020,Gujarat,181,147,334,78,396,13,49,614,545,3,1.97,350635,14626
2739,2024,Telangana,164,249,1187,699,336,41,4,540,142,0,1.01,36350,1386
2740,2024,Gujarat,287,276,695,262,378,25,27,117,441,3,0.23,144102,6319
2741,2022,Punjab,157,46,168,195,122,21,25,426,395,4,1.83,390612,14654
2742,2024,Karnataka,178,820,152,447,33,24,8,461,295,4,0.5,292751,1519
2743,2020,Telangana,45,242,778,729,71,33,42,354,386,4,1.76,145295,4804
2744,2024,Kerala,232,563,151,672,120,5,19,231,403,0,1.58,361092,19319
2745,2020,Kerala,129,500,862,326,106,19,18,470,338,5,1.38,99083,15233
2746,2020,Gujarat,221,129,833,271,277,28,11,170,36,4,0.5,160590,14904
2747,2020,Rajasthan,253,838,79,428,288,42,16,404,397,1,0.33,479043,1210
2748,2021,Delhi,101,875,119,727,151,14,1,368,2,0,0.97,353790,505
2749,2023,Karnataka,300,125,371,398,374,31,34,613,606,0,1.04,86619,6971
2750,2021,Rajasthan,56,463,278,484,54,38,15,435,530,1,0.49,392838,7363
2751,2020,Kerala,174,524,288,511,216,5,35,337,478,3,1.43,450609,13578
2752,2022,Kerala,37,143,917,194,355,30,40,49,297,4,0.85,281297,10208
2753,2024,Tamil Nadu,187,657,656,399,267,28,41,394,686,1,1.13,77955,13971
2754,2020,Karnataka,69,857,909,798,21,25,40,113,311,0,0.89,341210,14810
2755,2024,Telangana,53,379,718,266,262,48,33,348,172,3,0.23,143021,12966
2756,2020,Rajasthan,123,831,10,150,110,8,5,185,425,1,1.84,61081,13778
2757,2022,Delhi,103,913,311,304,349,32,3,411,398,0,0.52,9094,10454
2758,2023,Karnataka,2,921,969,187,343,27,47,510,640,0,0.73,414396,17841
2759,2022,Gujarat,163,946,65,274,67,19,2,506,442,1,1.97,372047,4775
2760,2022,Karnataka,277,241,1193,187,61,50,50,323,54,5,1.52,153812,13598
2761,2021,Kerala,87,382,870,577,400,29,2,94,564,0,0.12,362445,9834
2762,2023,Tamil Nadu,283,147,526,345,312,3,38,72,63,1,1.32,122623,8102
2763,2024,Karnataka,144,864,330,306,362,36,24,60,495,3,0.84,49595,2890
2764,2023,Kerala,36,137,734,727,253,44,1,691,364,2,0.17,66603,3137
2765,2024,Kerala,77,30,780,23,309,43,26,556,364,4,1.72,297989,13264
2766,2022,Delhi,179,412,225,625,199,21,41,201,669,0,1.28,29643,15542
2767,2020,Kerala,103,731,862,493,302,48,22,150,519,0,0.58,21699,12174
2768,2022,Punjab,255,874,197,264,357,2,14,162,105,5,1.02,465696,17480
2769,2022,Gujarat,171,964,495,271,54,12,12,399,524,3,1.08,175311,11418
2770,2021,Kerala,265,987,117,696,230,5,8,412,101,0,1.34,265218,8564
2771,2023,Tamil Nadu,40,906,1022,160,25,23,44,543,413,4,1.56,114603,13422
2772,2021,Rajasthan,148,168,242,513,397,8,47,611,599,2,1.72,135518,1199
2773,2022,Tamil Nadu,12,336,635,312,92,14,35,376,58,0,0.9,106079,6621
2774,2023,Maharashtra,127,543,935,438,9,17,47,33,456,2,1.12,33421,14169
2775,2023,Tamil Nadu,196,599,1194,557,173,47,46,629,469,4,1.64,199422,3927
2776,2021,Punjab,51,502,162,114,61,3,38,52,379,4,0.49,445481,3639
2777,2020,Delhi,0,726,90,199,95,26,24,355,359,5,0.63,200325,16159
2778,2021,Maharashtra,119,543,1159,259,251,42,7,670,604,5,1.47,111935,15027
2779,2023,Uttar Pradesh,41,233,108,69,367,15,42,149,346,2,1.61,91530,430
2780,2020,Karnataka,200,640,843,393,353,29,29,18,4,4,0.34,441017,8391
2781,2023,Gujarat,197,76,6,431,97,8,5,127,211,5,0.68,195448,13180
2782,2022,Telangana,34,749,389,347,195,40,6,199,130,0,1.91,416156,15162
2783,2020,Punjab,208,915,426,541,223,28,20,342,488,1,1.82,475753,10077
2784,2023,Karnataka,161,185,454,635,24,10,24,349,179,3,0.25,170594,18328
2785,2023,Maharashtra,51,15,410,541,287,11,0,106,407,0,1.86,368471,16491
2786,2024,Delhi,208,0,280,484,307,17,10,277,679,4,0.27,191137,7762
2787,2022,Kerala,279,317,432,639,346,14,22,36,321,4,0.17,460794,4700
2788,2020,Delhi,134,332,118,54,160,7,45,188,682,1,0.1,46430,10610
2789,2023,Rajasthan,293,767,516,249,148,49,45,521,247,1,0.77,317235,10258
2790,2022,Rajasthan,140,315,623,346,96,27,49,151,540,4,0.44,185249,450
2791,2024,Rajasthan,110,901,597,77,13,5,16,683,259,2,1.18,105126,17188
2792,2021,Telangana,105,766,841,143,131,41,40,512,481,5,0.73,430388,4821
